# Artemis Phase 1B allow-list — precise per-file × per-pattern × allowed_count
# legacy exemptions. Each entry caps the number of currently-permitted hits;
# adding a new matching callsite increases actual_count above allowed_count
# and the gate fails. NO WILDCARDS — every entry must specify the exact file,
# the exact banned pattern from BANNED_PATTERNS, and a positive integer count.
#
# Columns:
#   script_path     repo-relative .java path
#   banned_pattern  one of BANNED_PATTERNS verbatim
#   allowed_count   positive integer; max actual hits permitted today
#   reason          one sentence — what's missing in Artemis
#   removal_phase   tag of the migration that retires this entry
script_path	banned_pattern	allowed_count	reason	removal_phase
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	net\.runelite\.client\.plugins\.recorder\.nav\.	5	uses nav subsystem direct; replaced by walkTo	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	net\.runelite\.client\.plugins\.recorder\.trail\.	5	uses trail subsystem direct; replaced by walkTo	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	net\.runelite\.client\.plugins\.recorder\.transport\.	1	uses transport subsystem direct; replaced by walkTo	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	^import net\.runelite\.api\.NPC;	1	uses raw NPC API type; replaced by NpcRef	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	\bdispatcher\.dispatch\(	3	calls dispatcher directly; Artemis-returned Steps replace	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	\bActionRequest\.builder\(	3	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV2.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.6 (CookingScriptV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV2.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 6.6 (CookingScriptV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV2.java	net\.runelite\.client\.plugins\.recorder\.walker\.	3	uses walker subsystem direct; replaced by walkTo	Phase 6.6 (CookingScriptV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV2.java	net\.runelite\.client\.plugins\.recorder\.transport\.	1	uses transport subsystem direct; replaced by walkTo	Phase 6.6 (CookingScriptV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV2.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.6 (CookingScriptV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV3.java	net\.runelite\.client\.sequence\.dispatch\.	3	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.6 (CookingScriptV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV3.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	2	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.6 (CookingScriptV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV3.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 6.6 (CookingScriptV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV3.java	net\.runelite\.client\.plugins\.recorder\.walker\.	3	uses walker subsystem direct; replaced by walkTo	Phase 6.6 (CookingScriptV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV3.java	net\.runelite\.client\.plugins\.recorder\.transport\.	1	uses transport subsystem direct; replaced by walkTo	Phase 6.6 (CookingScriptV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CookingScriptV3.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.6 (CookingScriptV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	net\.runelite\.client\.sequence\.activities\.ge\.	3	uses ge activity classes; v1.2 GE surface replaces	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	net\.runelite\.client\.plugins\.recorder\.combat\.NpcSelector	1	uses NpcSelector direct; replaced by findNpc(NpcQuery)	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	net\.runelite\.client\.plugins\.recorder\.trail\.	3	uses trail subsystem direct; replaced by walkTo	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	net\.runelite\.client\.plugins\.recorder\.transport\.	1	uses transport subsystem direct; replaced by walkTo	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	\bdispatcher\.dispatch\(	1	calls dispatcher directly; Artemis-returned Steps replace	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	\bActionRequest\.builder\(	1	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/CooksAssistantScript.java	\bnew NpcSelector\(	1	constructs NpcSelector; replaced by findNpc(NpcQuery)	Phase 6.8 (CooksAssistantScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/FletchingScript.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.5 (FletchingScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/FletchingScript.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.5 (FletchingScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/FletchingScript.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 6.5 (FletchingScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/FletchingScript.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.5 (FletchingScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/FletchingScript.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 6.5 (FletchingScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/FletchingScript.java	\bclickCanvas\(	2	CLAUDE.md §10 BANNED — replaced by sampleInsideShape via Artemis Steps	Phase 3 (PixelResolver §10 rewrite)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/FletchingScript.java	\bdispatcher\.dispatch\(	6	calls dispatcher directly; Artemis-returned Steps replace	Phase 6.5 (FletchingScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/FletchingScript.java	\bActionRequest\.builder\(	6	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 6.5 (FletchingScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/GrandExchangeScript.java	net\.runelite\.client\.sequence\.dispatch\.	3	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.9 (GrandExchangeScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/GrandExchangeScript.java	net\.runelite\.client\.sequence\.activities\.ge\.	12	uses ge activity classes; v1.2 GE surface replaces	Phase 6.9 (GrandExchangeScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/GrandExchangeScript.java	net\.runelite\.client\.sequence\.activities\.banking\.	1	uses banking activity classes; v1.1 bank surface replaces	Phase 6.9 (GrandExchangeScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/GrandExchangeScript.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.9 (GrandExchangeScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/GrandExchangeScript.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 6.9 (GrandExchangeScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/GrandExchangeTab.java	net\.runelite\.client\.sequence\.activities\.ge\.	5	uses ge activity classes; v1.2 GE surface replaces	Phase 6.9 (GrandExchangeScriptV2 — companion file)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LogoutHelper.java	net\.runelite\.client\.sequence\.dispatch\.	1	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.10 (quest sub-tree deletions per spec §19)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LogoutHelper.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.10 (quest sub-tree deletions per spec §19)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LogoutHelper.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.10 (quest sub-tree deletions per spec §19)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LogoutHelper.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 6.10 (quest sub-tree deletions per spec §19)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LogoutHelper.java	\bdispatcher\.dispatch\(	2	calls dispatcher directly; Artemis-returned Steps replace	Phase 6.10 (quest sub-tree deletions per spec §19)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LogoutHelper.java	\bActionRequest\.builder\(	2	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 6.10 (quest sub-tree deletions per spec §19)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	net\.runelite\.client\.plugins\.recorder\.transport\.	1	uses transport subsystem direct; replaced by walkTo	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	^import net\.runelite\.api\.NPC;	1	uses raw NPC API type; replaced by NpcRef	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	^import net\.runelite\.api\.GameObject;	1	uses raw GameObject API type; replaced by GameObjRef	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	\bclickCanvas\(	4	CLAUDE.md §10 BANNED — replaced by sampleInsideShape via Artemis Steps	Phase 3 (PixelResolver §10 rewrite)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	\bdispatcher\.dispatch\(	1	calls dispatcher directly; Artemis-returned Steps replace	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/LumbridgeBankPenScript.java	\bActionRequest\.builder\(	1	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 6.1 (LumbridgeBankPenScriptV2 — moved earlier per §10 risk)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.3 (PieDishScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.3 (PieDishScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 6.3 (PieDishScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	net\.runelite\.client\.sequence\.activities\.ge\.	4	uses ge activity classes; v1.2 GE surface replaces	Phase 6.3 (PieDishScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.3 (PieDishScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 6.3 (PieDishScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	\bclickCanvas\(	1	CLAUDE.md §10 BANNED — replaced by sampleInsideShape via Artemis Steps	Phase 3 (PixelResolver §10 rewrite)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	\bdispatcher\.dispatch\(	3	calls dispatcher directly; Artemis-returned Steps replace	Phase 6.3 (PieDishScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PieDishScript.java	\bActionRequest\.builder\(	3	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 6.3 (PieDishScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.4 (PizzaScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.4 (PizzaScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 6.4 (PizzaScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	net\.runelite\.client\.plugins\.recorder\.trail\.	1	uses trail subsystem direct; replaced by walkTo	Phase 6.4 (PizzaScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.4 (PizzaScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 6.4 (PizzaScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	\bclickCanvas\(	1	CLAUDE.md §10 BANNED — replaced by sampleInsideShape via Artemis Steps	Phase 3 (PixelResolver §10 rewrite)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	\bdispatcher\.dispatch\(	3	calls dispatcher directly; Artemis-returned Steps replace	Phase 6.4 (PizzaScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/PizzaScript.java	\bActionRequest\.builder\(	3	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 6.4 (PizzaScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	net\.runelite\.client\.sequence\.dispatch\.	1	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	net\.runelite\.client\.plugins\.recorder\.scene\.SceneScanner	1	uses SceneScanner direct; replaced by findNpc / findObject / findItem	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	net\.runelite\.client\.plugins\.recorder\.nav\.	2	uses nav subsystem direct; replaced by walkTo	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	^import net\.runelite\.api\.GameObject;	1	uses raw GameObject API type; replaced by GameObjRef	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	\bdispatcher\.dispatch\(	6	calls dispatcher directly; Artemis-returned Steps replace	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/RooftopAgilityScript.java	\bActionRequest\.builder\(	6	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 6.2 (RooftopAgilityScriptV2 — lands obstacleKeyConfirm Step)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 6.7 (UltraCompostScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 6.7 (UltraCompostScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 6.7 (UltraCompostScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	net\.runelite\.client\.sequence\.activities\.ge\.	4	uses ge activity classes; v1.2 GE surface replaces	Phase 6.7 (UltraCompostScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 6.7 (UltraCompostScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 6.7 (UltraCompostScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	\bclickCanvas\(	1	CLAUDE.md §10 BANNED — replaced by sampleInsideShape via Artemis Steps	Phase 3 (PixelResolver §10 rewrite)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	\bdispatcher\.dispatch\(	1	calls dispatcher directly; Artemis-returned Steps replace	Phase 6.7 (UltraCompostScriptV2)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/UltraCompostScript.java	\bActionRequest\.builder\(	1	constructs ActionRequest via builder; Artemis-returned Steps replace	Phase 6.7 (UltraCompostScriptV2)
